name_subject_y,name_subject_y,slope,intercept,mean_squared_errorstatic
Tiếng Anh chuyên ngành 1 CE,Truyền thông Marketing tích hợp cơ bản,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản trị Marketing,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kinh doanh quốc tế cơ bản,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thống kê kinh doanh K20,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Digital Marketing,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Nghiên cứu marketing,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Marketing bằng công cụ tìm kiếm (Search Engine Marketing),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Tiếng Anh chuyên ngành 4 BA,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản trị bán hàng K20,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Chiến lược Marketing,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Marketing dịch vụ,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Phát triển sản phẩm mới,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thương mại điện tử cơ bản,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản trị chuỗi cung ứng K20,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế Website Thương mại điện tử 1,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Truyền thông Marketing tích hợp (IMC),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Marketing nội dung (Content marketing),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Khởi sự kinh doanh,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản trị quan hệ khách hàng,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,An toàn và bảo mật trong TMĐT,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế Website Thương mại điện tử 2,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Hoạch định nguồn lực doanh nghiệp,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đề án 5_K20,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Phân tích Marketing số (Digital Marketing analytics),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Marketing truyền thông xã hội (Social media marketing),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quảng cáo hiển thị và video (Display and video advertising),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Chiến lược toàn cầu trong marketing số (Global strategies in Digital Marketing),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Marketing thư điện tử (Email marketing),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Web 3.0 và xu hướng mới nổi trong Marketing số,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Chuyên đề 1 BA,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thương mại di động (Mobile Commerce),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thương mại qua Facebook (Facbook Commerce),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Hoạch định & Tích hợp chiến lược Digital Marketing (Digital Marketing: Strategic Planning & Integration),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản trị trải nghiệm khách hàng (Customer experience management),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Chuyên đề 2 BA,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thực tập tốt nghiệp KTS,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Luận văn tốt nghiệp,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Nhập môn khoa học dữ liệu,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Phân tích dữ liệu,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Ngôn ngữ R,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Xử lý dữ liệu lớn,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Trực quan hóa dữ liệu,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Hệ chuyên gia,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Biểu diễn tri thức,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Lập trình song song,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ họa 2D,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Lịch sử mỹ thuật Việt Nam và Thế giới,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Nguyên lý thiết kế đồ họa,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế Logo,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Minh họa,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế bao bì sản phẩm,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế hoạt hình 2 chiều,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ họa 3D,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế bộ ấn phẩm văn phòng,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế Poster,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế hoạt hình 3 chiều,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế dàn trang báo chí,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đề án 3 (K20),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản trị thương hiệu (*),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Truyền thông marketing tích hợp (*),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Marketing truyền thông xã hội,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Marketing công cụ tìm kiếm,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Marketing lan truyền (Viral Marketing),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Marketing nội dung,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quảng cáo hiển thị và video,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Phân tích marketing số,0,0,0,False
